date,mileage
2021-04-17,15
2021-04-18,15.3
2021-04-19,12.1
2021-04-20,18.6
2021-04-21,15
2021-04-22,15
2021-04-23,19.3
2021-04-24,15.3
2021-04-25,20
2021-04-26,11.9
2021-04-27,17.4
2021-04-28,16.7
2021-04-29,16
2021-04-30,17
2021-05-01,17.6
2021-05-02,22.3
2021-05-03,17.5
2021-05-04,12.5
2021-05-05,20.7
2021-05-06,17.3
2021-05-07,17.1
2021-05-08,19.8
2021-05-09,23.1
2021-05-10,16.2
2021-05-11,18.9
2021-05-12,15.2
2021-05-13,16
2021-05-14,17
2021-05-15,17.5
2021-05-16,23.2
2021-05-17,15.1
2021-05-18,18.1
2021-05-19,18
2021-05-20,16.4
2021-05-21,1.4
2021-05-22,16.4
2021-05-23,24
2021-05-24,20.5
2021-05-25,16.5
2021-05-26,17.2
2021-05-27,14.4
2021-05-28,21.5
2021-05-29,13.6
2021-05-30,19
2021-05-31,16.8
2021-06-01,16
2021-06-02,20.1
2021-06-03,17.7
2021-06-04,17.3
2021-06-05,16.4
2021-06-06,20.1
2021-06-07,16.7
2021-06-08,16
2021-06-09,14.3
2021-06-10,16.2
2021-06-11,10.2
2021-06-12,19
2021-06-13,17.3
2021-06-14,18.2
2021-06-15,18.1
2021-06-16,18.6
2021-06-17,16.6
2021-06-18,21
2021-06-19,17.1
2021-06-20,24.1
2021-06-21,17
2021-06-22,17.7
2021-06-23,21.2
2021-06-24,17
2021-06-25,17.8
2021-06-26,20.1
2021-06-27,21.2
2021-06-28,17.5
2021-06-29,18.7
2021-06-30,18.1
2021-07-01,16.8
2021-07-02,20
2021-07-03,17.3
2021-07-04,23
2021-07-05,17.3
2021-07-06,18.2
2021-07-07,23.9
2021-07-08,15.3
2021-07-09,17.3
2021-07-10,18.4
2021-07-11,22.2
2021-07-12,17.1
2021-07-13,18.4
2021-07-14,21.4
2021-07-15,17.2
2021-07-16,19
2021-07-17,18.2
2021-07-18,20.6
2021-07-19,15.1
2021-07-20,14.4
2021-07-21,21.1
2021-07-22,15.1
2021-07-23,14.7
2021-07-24,21.4
2021-07-25,18
2021-07-26,13.5
2021-07-27,20.6
2021-07-28,14.6
2021-07-29,11.5
2021-07-30,4
2021-07-31,16.7
2021-08-01,15
2021-08-02,12.5
2021-08-03,16
2021-08-04,10.9
2021-08-05,7
2021-08-06,5.3
